Date,Actual_IP,Est_IP
1921-01-31,4.0,4.0
1921-02-28,3.9,3.9
1921-03-31,3.8,3.8
1921-04-30,3.8,3.8
1921-05-31,3.9,3.9
1921-06-30,3.9,3.9
1921-07-31,3.8,3.8
1921-08-31,4.0,4.0
1921-09-30,4.0,4.0
1921-10-31,4.2,4.2
1921-11-30,4.2,4.2
1921-12-31,4.2,4.2
1922-01-31,4.3,4.3
1922-02-28,4.5,4.5
1922-03-31,4.8,4.8
1922-04-30,4.6,4.6
1922-05-31,4.8,4.8
1922-06-30,5.1,5.1
1922-07-31,5.1,5.1
1922-08-31,5.0,5.0
1922-09-30,5.2,5.2
1922-10-31,5.5,5.5
1922-11-30,5.8,5.8
1922-12-31,5.9,5.9
1923-01-31,5.8,5.8
1923-02-28,5.9,5.9
1923-03-31,6.1,6.1
1923-04-30,6.2,6.2
1923-05-31,6.3,6.3
1923-06-30,6.2,6.2
1923-07-31,6.2,6.2
1923-08-31,6.1,6.1
1923-09-30,5.9,5.9
1923-10-31,5.9,5.9
1923-11-30,5.9,5.9
1923-12-31,5.8,5.8
1924-01-31,5.9,5.9
1924-02-29,6.0,6.0
1924-03-31,5.9,5.9
1924-04-30,5.7,5.7
1924-05-31,5.5,5.5
1924-06-30,5.2,5.2
1924-07-31,5.2,5.2
1924-08-31,5.3,5.3
1924-09-30,5.5,5.5
1924-10-31,5.7,5.7
1924-11-30,5.8,5.8
1924-12-31,5.9,5.9
1925-01-31,6.1,6.1
1925-02-28,6.1,6.1
1925-03-31,6.1,6.1
1925-04-30,6.2,6.2
1925-05-31,6.2,6.2
1925-06-30,6.1,6.1
1925-07-31,6.3,6.3
1925-08-31,6.2,6.2
1925-09-30,6.1,6.1
1925-10-31,6.3,6.3
1925-11-30,6.5,6.5
1925-12-31,6.5,6.5
1926-01-31,6.4,6.4
1926-02-28,6.4,6.4
1926-03-31,6.5,6.5
1926-04-30,6.5,6.5
1926-05-31,6.5,6.5
1926-06-30,6.5,6.5
1926-07-31,6.6,6.6
1926-08-31,6.6,6.6
1926-09-30,6.7,6.7
1926-10-31,6.7,6.7
1926-11-30,6.7,6.7
1926-12-31,6.7,6.7
1927-01-31,6.7,6.7
1927-02-28,6.7,6.7
1927-03-31,6.8,6.8
1927-04-30,6.6,6.6
1927-05-31,6.7,6.7
1927-06-30,6.7,6.7
1927-07-31,6.6,6.6
1927-08-31,6.6,6.6
1927-09-30,6.5,6.5
1927-10-31,6.3,6.3
1927-11-30,6.3,6.3
1927-12-31,6.4,6.4
1928-01-31,6.5,6.5
1928-02-29,6.6,6.6
1928-03-31,6.6,6.6
1928-04-30,6.6,6.6
1928-05-31,6.7,6.7
1928-06-30,6.7,6.7
1928-07-31,6.8,6.8
1928-08-31,6.9,6.9
1928-09-30,7.0,7.0
1928-10-31,7.1,7.1
1928-11-30,7.3,7.3
1928-12-31,7.4,7.4
1929-01-31,7.5,7.5
1929-02-28,7.5,7.5
1929-03-31,7.5,7.5
1929-04-30,7.6,7.6
1929-05-31,7.8,7.8
1929-06-30,7.8,7.8
1929-07-31,7.9,7.9
1929-08-31,7.8,7.8
1929-09-30,7.8,7.8
1929-10-31,7.7,7.7
1929-11-30,7.3,7.3
1929-12-31,7.0,7.0
1930-01-31,7.0,7.0
1930-02-28,6.9,6.9
1930-03-31,6.8,6.8
1930-04-30,6.8,6.8
1930-05-31,6.7,6.7
1930-06-30,6.5,6.5
1930-07-31,6.2,6.2
1930-08-31,6.0,6.0
1930-09-30,5.9,5.9
1930-10-31,5.8,5.8
1930-11-30,5.6,5.6
1930-12-31,5.5,5.5
1931-01-31,5.5,5.5
1931-02-28,5.5,5.5
1931-03-31,5.6,5.6
1931-04-30,5.6,5.6
1931-05-31,5.6,5.6
1931-06-30,5.4,5.4
1931-07-31,5.3,5.3
1931-08-31,5.2,5.2
1931-09-30,4.9,4.9
1931-10-31,4.7,4.7
1931-11-30,4.7,4.7
1931-12-31,4.7,4.7
1932-01-31,4.5,4.5
1932-02-29,4.4,4.4
1932-03-31,4.4,4.4
1932-04-30,4.1,4.1
1932-05-31,3.9,3.9
1932-06-30,3.8,3.8
1932-07-31,3.7,3.7
1932-08-31,3.8,3.8
1932-09-30,4.0,4.0
1932-10-31,4.2,4.2
1932-11-30,4.2,4.2
1932-12-31,4.1,4.1
1933-01-31,4.0,4.0
1933-02-28,4.0,4.0
1933-03-31,3.8,3.8
1933-04-30,4.1,4.1
1933-05-31,4.7,4.7
1933-06-30,5.5,5.5
1933-07-31,6.0,6.0
1933-08-31,5.7,5.7
1933-09-30,5.4,5.4
1933-10-31,5.1,5.1
1933-11-30,4.8,4.8
1933-12-31,4.9,4.9
1934-01-31,5.0,5.0
1934-02-28,5.3,5.3
1934-03-31,5.5,5.5
1934-04-30,5.5,5.5
1934-05-31,5.6,5.6
1934-06-30,5.5,5.5
1934-07-31,5.1,5.1
1934-08-31,5.1,5.1
1934-09-30,4.8,4.8
1934-10-31,5.0,5.0
1934-11-30,5.1,5.1
1934-12-31,5.4,5.4
1935-01-31,5.8,5.8
1935-02-28,5.9,5.9
1935-03-31,5.9,5.9
1935-04-30,5.8,5.8
1935-05-31,5.8,5.8
1935-06-30,5.9,5.9
1935-07-31,5.9,5.9
1935-08-31,6.1,6.1
1935-09-30,6.2,6.2
1935-10-31,6.4,6.4
1935-11-30,6.6,6.6
1935-12-31,6.6,6.6
1936-01-31,6.5,6.5
1936-02-29,6.4,6.4
1936-03-31,6.5,6.5
1936-04-30,6.9,6.9
1936-05-31,7.0,7.0
1936-06-30,7.1,7.1
1936-07-31,7.3,7.3
1936-08-31,7.4,7.4
1936-09-30,7.5,7.5
1936-10-31,7.6,7.6
1936-11-30,7.8,7.8
1936-12-31,8.1,8.1
1937-01-31,8.0,8.0
1937-02-28,8.1,8.1
1937-03-31,8.3,8.3
1937-04-30,8.3,8.3
1937-05-31,8.4,8.4
1937-06-30,8.3,8.3
1937-07-31,8.3,8.3
1937-08-31,8.3,8.3
1937-09-30,8.0,8.0
1937-10-31,7.4,7.4
1937-11-30,6.7,6.7
1937-12-31,6.1,6.1
1938-01-31,5.9,5.9
1938-02-28,5.9,5.9
1938-03-31,5.9,5.9
1938-04-30,5.8,5.8
1938-05-31,5.6,5.6
1938-06-30,5.7,5.7
1938-07-31,6.0,6.0
1938-08-31,6.3,6.3
1938-09-30,6.5,6.5
1938-10-31,6.7,6.7
1938-11-30,7.0,7.0
1938-12-31,7.0,7.0
1939-01-31,7.0,7.0
1939-02-28,7.1,7.1
1939-03-31,7.1,7.1
1939-04-30,7.1,7.1
1939-05-31,7.1,7.1
1939-06-30,7.2,7.2
1939-07-31,7.4,7.4
1939-08-31,7.6,7.6
1939-09-30,8.0,8.0
1939-10-31,8.4,8.4
1939-11-30,8.6,8.6
1939-12-31,8.6,8.6
1940-01-31,8.5,8.5
1940-02-29,8.3,8.3
1940-03-31,8.1,8.1
1940-04-30,8.2,8.2
1940-05-31,8.5,8.5
1940-06-30,8.7,8.7
1940-07-31,8.8,8.8
1940-08-31,8.9,8.9
1940-09-30,9.1,9.1
1940-10-31,9.2,9.2
1940-11-30,9.4,9.4
1940-12-31,9.8,9.8
1941-01-31,10.0,10.0
1941-02-28,10.3,10.3
1941-03-31,10.6,10.6
1941-04-30,10.6,10.6
1941-05-31,11.1,11.1
1941-06-30,11.2,11.2
1941-07-31,11.3,11.3
1941-08-31,11.5,11.5
1941-09-30,11.5,11.5
1941-10-31,11.6,11.6
1941-11-30,11.6,11.6
1941-12-31,11.8,11.8
1942-01-31,12.1,12.1
1942-02-28,12.3,12.3
1942-03-31,12.4,12.4
1942-04-30,12.1,12.1
1942-05-31,12.1,12.1
1942-06-30,12.1,12.1
1942-07-31,12.4,12.4
1942-08-31,12.8,12.8
1942-09-30,13.1,13.1
1942-10-31,13.5,13.5
1942-11-30,13.8,13.8
1942-12-31,14.2,14.2
1943-01-31,14.3,14.3
1943-02-28,14.7,14.7
1943-03-31,14.8,14.8
1943-04-30,15.0,15.0
1943-05-31,15.1,15.1
1943-06-30,15.0,15.0
1943-07-31,15.5,15.5
1943-08-31,15.8,15.8
1943-09-30,16.2,16.2
1943-10-31,16.4,16.4
1943-11-30,16.6,16.6
1943-12-31,16.4,16.4
1944-01-31,16.6,16.6
1944-02-29,16.7,16.7
1944-03-31,16.7,16.7
1944-04-30,16.7,16.7
1944-05-31,16.6,16.6
1944-06-30,16.6,16.6
1944-07-31,16.5,16.5
1944-08-31,16.7,16.7
1944-09-30,16.6,16.6
1944-10-31,16.7,16.7
1944-11-30,16.6,16.6
1944-12-31,16.5,16.5
1945-01-31,16.3,16.3
1945-02-28,16.3,16.3
1945-03-31,16.2,16.2
1945-04-30,15.9,15.9
1945-05-31,15.5,15.5
1945-06-30,15.1,15.1
1945-07-31,14.8,14.8
1945-08-31,13.2,13.2
1945-09-30,12.0,12.0
1945-10-31,11.6,11.6
1945-11-30,12.0,12.0
1945-12-31,12.0,12.0
1946-01-31,11.4,11.4
1946-02-28,10.8,10.8
1946-03-31,11.9,11.9
1946-04-30,11.7,11.7
1946-05-31,11.3,11.3
1946-06-30,12.0,12.0
1946-07-31,12.4,12.4
1946-08-31,12.8,12.8
1946-09-30,13.1,13.1
1946-10-31,13.3,13.3
1946-11-30,13.4,13.4
1946-12-31,13.5,13.5
1947-01-31,13.7,13.7
1947-02-28,13.7,13.7
1947-03-31,13.8,13.8
1947-04-30,13.7,13.7
1947-05-31,13.8,13.8
1947-06-30,13.8,13.8
1947-07-31,13.7,13.7
1947-08-31,13.8,13.8
1947-09-30,13.9,13.9
1947-10-31,14.0,14.0
1947-11-30,14.2,14.2
1947-12-31,14.2,14.2
1948-01-31,14.3,14.3
1948-02-29,14.4,14.4
1948-03-31,14.2,14.2
1948-04-30,14.2,14.2
1948-05-31,14.5,14.5
1948-06-30,14.7,14.7
1948-07-31,14.7,14.7
1948-08-31,14.6,14.6
1948-09-30,14.5,14.5
1948-10-31,14.6,14.6
1948-11-30,14.4,14.4
1948-12-31,14.3,14.3
1949-01-31,14.1,14.1
1949-02-28,14.0,14.0
1949-03-31,13.7,13.7
1949-04-30,13.7,13.7
1949-05-31,13.5,13.5
1949-06-30,13.4,13.4
1949-07-31,13.4,13.4
1949-08-31,13.5,13.5
1949-09-30,13.7,13.7
1949-10-31,13.2,13.2
1949-11-30,13.5,13.5
1949-12-31,13.8,13.8
1950-01-31,14.0,14.0
1950-02-28,14.1,14.1
1950-03-31,14.5,14.5
1950-04-30,15.0,15.0
1950-05-31,15.3,15.3
1950-06-30,15.8,15.8
1950-07-31,16.3,16.3
1950-08-31,16.8,16.8
1950-09-30,16.7,16.7
1950-10-31,16.8,16.8
1950-11-30,16.8,16.8
1950-12-31,17.1,17.1
1951-01-31,17.1,17.1
1951-02-28,17.3,17.3
1951-03-31,17.3,17.3
1951-04-30,17.4,17.4
1951-05-31,17.3,17.3
1951-06-30,17.2,17.2
1951-07-31,17.0,17.0
1951-08-31,16.8,16.8
1951-09-30,16.9,16.9
1951-10-31,16.9,16.9
1951-11-30,17.0,17.0
1951-12-31,17.1,17.1
1952-01-31,17.3,17.3
1952-02-29,17.4,17.4
1952-03-31,17.5,17.5
1952-04-30,17.3,17.3
1952-05-31,17.1,17.1
1952-06-30,17.0,17.0
1952-07-31,16.7,16.7
1952-08-31,17.8,17.8
1952-09-30,18.4,18.4
1952-10-31,18.6,18.6
1952-11-30,19.0,19.0
1952-12-31,19.1,19.1
1953-01-31,19.2,19.2
1953-02-28,19.3,19.3
1953-03-31,19.4,19.4
1953-04-30,19.5,19.5
1953-05-31,19.6,19.6
1953-06-30,19.5,19.5
1953-07-31,19.8,19.8
1953-08-31,19.7,19.7
1953-09-30,19.3,19.3
1953-10-31,19.1,19.1
1953-11-30,18.7,18.7
1953-12-31,18.2,18.2
1954-01-31,18.1,18.1
1954-02-28,18.1,18.1
1954-03-31,18.0,18.0
1954-04-30,17.9,17.9
1954-05-31,18.0,18.0
1954-06-30,18.1,18.1
1954-07-31,18.1,18.1
1954-08-31,18.1,18.1
1954-09-30,18.1,18.1
1954-10-31,18.3,18.3
1954-11-30,18.6,18.6
1954-12-31,18.8,18.8
1955-01-31,19.3,19.3
1955-02-28,19.5,19.5
1955-03-31,20.0,20.0
1955-04-30,20.2,20.2
1955-05-31,20.5,20.5
1955-06-30,20.6,20.6
1955-07-31,20.7,20.7
1955-08-31,20.7,20.7
1955-09-30,20.8,20.8
1955-10-31,21.2,21.2
1955-11-30,21.2,21.2
1955-12-31,21.3,21.3
1956-01-31,21.5,21.5
1956-02-29,21.3,21.3
1956-03-31,21.3,21.3
1956-04-30,21.4,21.4
1956-05-31,21.2,21.2
1956-06-30,21.0,21.0
1956-07-31,20.4,20.4
1956-08-31,21.2,21.2
1956-09-30,21.7,21.7
1956-10-31,21.9,21.9
1956-11-30,21.7,21.7
1956-12-31,22.0,22.0
1957-01-31,22.0,22.0
1957-02-28,22.2,22.2
1957-03-31,22.1,22.1
1957-04-30,21.9,21.9
1957-05-31,21.8,21.8
1957-06-30,21.8,21.8
1957-07-31,22.0,22.0
1957-08-31,22.0,22.0
1957-09-30,21.8,21.8
1957-10-31,21.5,21.5
1957-11-30,20.9,20.9
1957-12-31,20.5,20.5
1958-01-31,20.2,20.2
1958-02-28,19.7,19.7
1958-03-31,19.5,19.5
1958-04-30,19.2,19.2
1958-05-31,19.4,19.4
1958-06-30,19.9,19.9
1958-07-31,20.2,20.2
1958-08-31,20.6,20.6
1958-09-30,20.8,20.8
1958-10-31,21.0,21.0
1958-11-30,21.6,21.6
1958-12-31,21.6,21.6
1959-01-31,22.0,22.0
1959-02-28,22.4,22.4
1959-03-31,22.7,22.7
1959-04-30,23.2,23.2
1959-05-31,23.5,23.5
1959-06-30,23.6,23.6
1959-07-31,23.0,23.0
1959-08-31,22.2,22.2
1959-09-30,22.2,22.2
1959-10-31,22.0,22.0
1959-11-30,22.2,22.2
1959-12-31,23.5,23.5
1960-01-31,24.2,24.2
1960-02-29,24.0,24.0
1960-03-31,23.7,23.7
1960-04-30,23.5,23.5
1960-05-31,23.5,23.5
1960-06-30,23.2,23.2
1960-07-31,23.1,23.1
1960-08-31,23.1,23.1
1960-09-30,22.9,22.9
1960-10-31,22.8,22.8
1960-11-30,22.5,22.5
1960-12-31,22.1,22.1
1961-01-31,22.1,22.1
1961-02-28,22.1,22.1
1961-03-31,22.2,22.2
1961-04-30,22.7,22.7
1961-05-31,23.0,23.0
1961-06-30,23.4,23.4
1961-07-31,23.6,23.6
1961-08-31,23.8,23.8
1961-09-30,23.8,23.8
1961-10-31,24.3,24.3
1961-11-30,24.6,24.6
1961-12-31,24.9,24.9
1962-01-31,24.6,24.6
1962-02-28,25.1,25.1
1962-03-31,25.2,25.2
1962-04-30,25.2,25.2
1962-05-31,25.2,25.2
1962-06-30,25.2,25.2
1962-07-31,25.4,25.4
1962-08-31,25.4,25.4
1962-09-30,25.6,25.6
1962-10-31,25.6,25.6
1962-11-30,25.7,25.7
1962-12-31,25.7,25.7
1963-01-31,25.9,25.9
1963-02-28,26.2,26.2
1963-03-31,26.4,26.4
1963-04-30,26.6,26.6
1963-05-31,26.9,26.9
1963-06-30,27.0,27.0
1963-07-31,26.9,26.9
1963-08-31,27.0,27.0
1963-09-30,27.2,27.2
1963-10-31,27.4,27.4
1963-11-30,27.6,27.6
1963-12-31,27.5,27.5
1964-01-31,27.7,27.7
1964-02-29,27.9,27.9
1964-03-31,27.9,27.9
1964-04-30,28.4,28.4
1964-05-31,28.5,28.5
1964-06-30,28.6,28.6
1964-07-31,28.8,28.8
1964-08-31,29.0,29.0
1964-09-30,29.1,29.1
1964-10-31,28.7,28.7
1964-11-30,29.6,29.6
1964-12-31,29.9,29.9
1965-01-31,30.3,30.3
1965-02-28,30.5,30.5
1965-03-31,30.9,30.9
1965-04-30,31.0,31.0
1965-05-31,31.2,31.2
1965-06-30,31.5,31.5
1965-07-31,31.8,31.8
1965-08-31,31.9,31.9
1965-09-30,32.0,32.0
1965-10-31,32.3,32.3
1965-11-30,32.4,32.4
1965-12-31,32.8,32.8
1966-01-31,33.2,33.2
1966-02-28,33.4,33.4
1966-03-31,33.8,33.8
1966-04-30,33.9,33.9
1966-05-31,34.2,34.2
1966-06-30,34.4,34.4
1966-07-31,34.6,34.6
1966-08-31,34.6,34.6
1966-09-30,34.9,34.9
1966-10-31,35.2,35.2
1966-11-30,34.9,34.9
1966-12-31,35.0,35.0
1967-01-31,35.2,35.2
1967-02-28,34.8,34.8
1967-03-31,34.6,34.6
1967-04-30,34.9,34.9
1967-05-31,34.6,34.6
1967-06-30,34.6,34.6
1967-07-31,34.5,34.5
1967-08-31,35.2,35.2
1967-09-30,35.1,35.1
1967-10-31,35.4,35.4
1967-11-30,35.9,35.9
1967-12-31,36.3,36.3
1968-01-31,36.3,36.3
1968-02-29,36.4,36.4
1968-03-31,36.5,36.5
1968-04-30,36.5,36.5
1968-05-31,37.0,37.0
1968-06-30,37.1,37.1
1968-07-31,37.0,37.0
1968-08-31,37.1,37.1
1968-09-30,37.3,37.3
1968-10-31,37.4,37.4
1968-11-30,37.8,37.8
1968-12-31,38.0,38.0
1969-01-31,38.2,38.2
1969-02-28,38.4,38.4
1969-03-31,38.7,38.7
1969-04-30,38.6,38.6
1969-05-31,38.4,38.4
1969-06-30,38.8,38.8
1969-07-31,39.0,39.0
1969-08-31,39.1,39.1
1969-09-30,39.1,39.1
1969-10-31,39.1,39.1
1969-11-30,38.7,38.7
1969-12-31,38.6,38.6
1970-01-31,37.9,37.9
1970-02-28,37.9,37.9
1970-03-31,37.9,37.9
1970-04-30,37.8,37.8
1970-05-31,37.7,37.7
1970-06-30,37.6,37.6
1970-07-31,37.7,37.7
1970-08-31,37.6,37.6
1970-09-30,37.4,37.4
1970-10-31,36.6,36.6
1970-11-30,36.4,36.4
1970-12-31,37.2,37.2
1971-01-31,37.5,37.5
1971-02-28,37.4,37.4
1971-03-31,37.4,37.4
1971-04-30,37.6,37.6
1971-05-31,37.8,37.8
1971-06-30,38.0,38.0
1971-07-31,37.8,37.8
1971-08-31,37.6,37.6
1971-09-30,38.2,38.2
1971-10-31,38.5,38.5
1971-11-30,38.7,38.7
1971-12-31,39.1,39.1
1972-01-31,40.1,40.1
1972-02-29,40.5,40.5
1972-03-31,40.8,40.8
1972-04-30,41.2,41.2
1972-05-31,41.2,41.2
1972-06-30,41.3,41.3
1972-07-31,41.2,41.2
1972-08-31,41.8,41.8
1972-09-30,42.1,42.1
1972-10-31,42.7,42.7
1972-11-30,43.2,43.2
1972-12-31,43.7,43.7
1973-01-31,44.0,44.0
1973-02-28,44.6,44.6
1973-03-31,44.6,44.6
1973-04-30,44.6,44.6
1973-05-31,44.9,44.9
1973-06-30,44.9,44.9
1973-07-31,45.1,45.1
1973-08-31,45.0,45.0
1973-09-30,45.4,45.4
1973-10-31,45.7,45.7
1973-11-30,46.0,46.0
1973-12-31,45.8,45.8
1974-01-31,45.5,45.5
1974-02-28,45.4,45.4
1974-03-31,45.4,45.4
1974-04-30,45.2,45.2
1974-05-31,45.6,45.6
1974-06-30,45.5,45.5
1974-07-31,45.6,45.6
1974-08-31,45.1,45.1
1974-09-30,45.1,45.1
1974-10-31,45.0,45.0
1974-11-30,43.5,43.5
1974-12-31,42.0,42.0
1975-01-31,41.4,41.4
1975-02-28,40.4,40.4
1975-03-31,40.0,40.0
1975-04-30,40.1,40.1
1975-05-31,39.9,39.9
1975-06-30,40.2,40.2
1975-07-31,40.6,40.6
1975-08-31,41.0,41.0
1975-09-30,41.5,41.5
1975-10-31,41.7,41.7
1975-11-30,41.8,41.8
1975-12-31,42.3,42.3
1976-01-31,42.9,42.9
1976-02-29,43.3,43.3
1976-03-31,43.4,43.4
1976-04-30,43.7,43.7
1976-05-31,43.8,43.8
1976-06-30,43.9,43.9
1976-07-31,44.1,44.1
1976-08-31,44.4,44.4
1976-09-30,44.6,44.6
1976-10-31,44.6,44.6
1976-11-30,45.2,45.2
1976-12-31,45.7,45.7
1977-01-31,45.4,45.4
1977-02-28,46.1,46.1
1977-03-31,46.7,46.7
1977-04-30,47.2,47.2
1977-05-31,47.5,47.5
1977-06-30,47.9,47.9
1977-07-31,48.0,48.0
1977-08-31,48.0,48.0
1977-09-30,48.2,48.2
1977-10-31,48.3,48.3
1977-11-30,48.4,48.4
1977-12-31,48.5,48.5
1978-01-31,47.8,47.8
1978-02-28,48.0,48.0
1978-03-31,48.9,48.9
1978-04-30,49.9,49.9
1978-05-31,50.2,50.2
1978-06-30,50.5,50.5
1978-07-31,50.4,50.4
1978-08-31,50.6,50.6
1978-09-30,50.8,50.8
1978-10-31,51.2,51.2
1978-11-30,51.5,51.5
1978-12-31,51.8,51.8
1979-01-31,51.5,51.5
1979-02-28,51.8,51.8
1979-03-31,51.9,51.9
1979-04-30,51.3,51.3
1979-05-31,51.8,51.8
1979-06-30,51.8,51.8
1979-07-31,51.7,51.7
1979-08-31,51.4,51.4
1979-09-30,51.4,51.4
1979-10-31,51.7,51.7
1979-11-30,51.6,51.6
1979-12-31,51.7,51.7
1980-01-31,51.9,51.9
1980-02-29,52.0,52.0
1980-03-31,51.7,51.7
1980-04-30,50.7,50.7
1980-05-31,49.5,49.5
1980-06-30,48.8,48.8
1980-07-31,48.5,48.5
1980-08-31,48.6,48.6
1980-09-30,49.5,49.5
1980-10-31,50.1,50.1
1980-11-30,50.9,50.9
1980-12-31,51.3,51.3
1981-01-31,50.9,50.9
1981-02-28,50.7,50.7
1981-03-31,51.0,51.0
1981-04-30,50.8,50.8
1981-05-31,51.1,51.1
1981-06-30,51.3,51.3
1981-07-31,51.7,51.7
1981-08-31,51.6,51.6
1981-09-30,51.3,51.3
1981-10-31,50.9,50.9
1981-11-30,50.4,50.4
1981-12-31,49.8,49.8
1982-01-31,48.8,48.8
1982-02-28,49.8,49.8
1982-03-31,49.4,49.4
1982-04-30,49.0,49.0
1982-05-31,48.7,48.7
1982-06-30,48.5,48.5
1982-07-31,48.4,48.4
1982-08-31,47.9,47.9
1982-09-30,47.8,47.8
1982-10-31,47.4,47.4
1982-11-30,47.2,47.2
1982-12-31,46.9,46.9
1983-01-31,47.7,47.7
1983-02-28,47.4,47.4
1983-03-31,47.8,47.8
1983-04-30,48.4,48.4
1983-05-31,48.7,48.7
1983-06-30,49.0,49.0
1983-07-31,49.8,49.8
1983-08-31,50.4,50.4
1983-09-30,51.1,51.1
1983-10-31,51.5,51.5
1983-11-30,51.7,51.7
1983-12-31,52.0,52.0
1984-01-31,53.0,53.0
1984-02-29,53.2,53.2
1984-03-31,53.5,53.5
1984-04-30,53.8,53.8
1984-05-31,54.1,54.1
1984-06-30,54.3,54.3
1984-07-31,54.5,54.5
1984-08-31,54.5,54.5
1984-09-30,54.4,54.4
1984-10-31,54.3,54.3
1984-11-30,54.5,54.5
1984-12-31,54.6,54.6
1985-01-31,54.5,54.5
1985-02-28,54.7,54.7
1985-03-31,54.8,54.8
1985-04-30,54.6,54.6
1985-05-31,54.7,54.7
1985-06-30,54.7,54.7
1985-07-31,54.4,54.4
1985-08-31,54.6,54.6
1985-09-30,54.8,54.8
1985-10-31,54.6,54.6
1985-11-30,54.8,54.8
1985-12-31,55.4,55.4
1986-01-31,55.6,55.6
1986-02-28,55.3,55.3
1986-03-31,54.9,54.9
1986-04-30,54.9,54.9
1986-05-31,55.0,55.0
1986-06-30,54.8,54.8
1986-07-31,55.2,55.2
1986-08-31,55.1,55.1
1986-09-30,55.2,55.2
1986-10-31,55.5,55.5
1986-11-30,55.7,55.7
1986-12-31,56.2,56.2
1987-01-31,56.0,56.0
1987-02-28,56.7,56.7
1987-03-31,56.8,56.8
1987-04-30,57.2,57.2
1987-05-31,57.5,57.5
1987-06-30,57.9,57.9
1987-07-31,58.2,58.2
1987-08-31,58.7,58.7
1987-09-30,58.9,58.9
1987-10-31,59.7,59.7
1987-11-30,60.0,60.0
1987-12-31,60.3,60.3
1988-01-31,60.3,60.3
1988-02-29,60.6,60.6
1988-03-31,60.7,60.7
1988-04-30,61.1,61.1
1988-05-31,61.0,61.0
1988-06-30,61.2,61.2
1988-07-31,61.2,61.2
1988-08-31,61.5,61.5
1988-09-30,61.3,61.3
1988-10-31,61.5,61.5
1988-11-30,61.7,61.7
1988-12-31,62.0,62.0
1989-01-31,62.2,62.2
1989-02-28,61.9,61.9
1989-03-31,62.1,62.1
1989-04-30,62.0,62.0
1989-05-31,61.7,61.7
1989-06-30,61.7,61.7
1989-07-31,61.1,61.1
1989-08-31,61.7,61.7
1989-09-30,61.5,61.5
1989-10-31,61.4,61.4
1989-11-30,61.6,61.6
1989-12-31,62.0,62.0
1990-01-31,61.6,61.6
1990-02-28,62.2,62.2
1990-03-31,62.5,62.5
1990-04-30,62.4,62.4
1990-05-31,62.5,62.5
1990-06-30,62.7,62.7
1990-07-31,62.6,62.6
1990-08-31,62.9,62.9
1990-09-30,62.9,62.9
1990-10-31,62.5,62.5
1990-11-30,61.7,61.7
1990-12-31,61.3,61.3
1991-01-31,61.1,61.1
1991-02-28,60.6,60.6
1991-03-31,60.3,60.3
1991-04-30,60.5,60.5
1991-05-31,61.1,61.1
